Architecture,Best_Resolution_width,Best_Resolution_height,Boost_Clock,Core_Speed,DVI_Connection,Dedicated,Direct_X,DisplayPort_Connection,HDMI_Connection,Integrated,L2_Per_Core,L2_Cores,Manufacturer,Max_Power,Memory,Memory_Bandwidth,Memory_Bus,Memory_Speed,Memory_Type,Name,Notebook_GPU,Open_GL,PSU_Watt,PSU_Amps,Pixel_Rate,Power_Connector,Process,ROPs_Per_Core,ROPs_Cores,Release_Date,Resolution_WxH_width,Resolution_WxH_height,SLI_Crossfire,Shader,TMUs,Texture_Rate,VGA_Connection
Tesla G92b ,1920.0,1080.0,1198.9809523809524,738.0,2.0,Yes,DX 10.0,3.0,0.0,No,0,1,Nvidia,141.0,1024.0,64.0,256.0,1000.0,GDDR3,GeForce GTS 150,No,3.3,450.0,38.0,12.0,None ,55.0,16.0,1,2009-03-01,2560.0,1600.0,Yes,4.0,64.0,47.0,0.0
R600 XT ,1366.0,768.0,1198.9809523809524,938.0037593984962,2.0,Yes,DX 10,3.0,0.0,No,0,1,AMD,215.0,512.0,106.0,512.0,828.0,GDDR3,Radeon HD 2900 XT 512MB,No,3.1,550.0,35.0,12.0,None ,80.0,16.0,1,2007-05-14,2560.0,1600.0,Yes,4.0,16.0,12.0,0.0
R600 PRO ,1366.0,768.0,1198.9809523809524,938.0037593984962,2.0,Yes,DX 10,3.0,0.0,No,0,1,AMD,200.0,512.0,51.2,256.0,800.0,GDDR3,Radeon HD 2900 Pro,No,3.1,550.0,35.0,10.0,None ,80.0,16.0,1,2007-12-07,2560.0,1600.0,Yes,4.0,16.0,10.0,0.0
RV630 ,1024.0,768.0,1198.9809523809524,938.0037593984962,2.0,Yes,DX 10,3.0,0.0,No,0,1,AMD,110.0,256.0,36.8,128.0,1150.0,GDDR4,Radeon HD 2600 XT Diamond Edition,No,3.3,500.0,30.0,3.0,None ,65.0,4.0,1,2007-07-01,2560.0,1600.0,Yes,4.0,8.0,7.0,0.0
RV630 ,1024.0,768.0,1198.9809523809524,938.0037593984962,2.0,Yes,DX 10,3.0,0.0,No,0,1,AMD,45.0,256.0,22.4,128.0,700.0,GDDR3,Radeon HD 2600 XT,No,3.1,400.0,25.0,3.0,None ,65.0,4.0,1,2007-06-28,2560.0,1600.0,Yes,4.0,8.0,6.0,0.0
RV630 ,1024.0,768.0,1198.9809523809524,938.0037593984962,2.0,Yes,DX 10,3.0,0.0,No,0,1,AMD,50.0,256.0,35.2,128.0,1100.0,GDDR4,Radeon HD 2600 XT 256MB GDDR4,No,3.3,400.0,26.0,3.0,None ,65.0,4.0,1,2007-06-26,2560.0,1600.0,Yes,4.0,8.0,6.0,0.0
R700 RV790 XT ,1920.0,1080.0,1198.9809523809524,870.0,1.0,Yes,DX 10.1,3.0,1.0,No,0,1,AMD,190.0,2048.0,134.4,256.0,1050.0,GDDR5,Radeon HD 4890 Sapphire Vapor-X OC 2GB Edition,No,3.3,500.0,37.0,14.0,2x 6-pin ,55.0,16.0,1,2009-07-13,2560.0,1600.0,Yes,4.1,40.0,35.0,1.0
R600 GT ,1024.0,768.0,1198.9809523809524,938.0037593984962,2.0,Yes,DX 10,3.0,0.0,No,0,1,AMD,150.0,256.0,51.2,256.0,800.0,GDDR3,Radeon HD 2900 GT,No,3.1,550.0,30.0,7.0,None ,80.0,12.0,1,2007-11-06,2560.0,1600.0,Yes,4.0,12.0,7.0,0.0
Pitcairn XT GL ,1920.0,1080.0,1198.9809523809524,938.0037593984962,0.0,Yes,DX 11.2,3.0,0.0,No,0,1,AMD,150.0,2048.0,160.0,256.0,1250.0,GDDR5,FirePro D300,No,4.3,500.0,20.0,25.0,None ,28.0,32.0,1,2014-01-18,4096.0,2160.0,Yes,5.0,80.0,62.0,0.0
RV100 ,1920.0,1080.0,1198.9809523809524,938.0037593984962,2.0,Yes,DX 7,3.0,1.0,No,0,1,AMD,32.0,64.0,2.9,64.0,366.0,DDR,Radeon 7000 64mb,No,1.4,500.0,30.0,26.0,None ,28.0,24.0,1,2001-01-02,1600.0,1200.0,No,1.0,56.0,59.0,0.0
