Feature,Mean,Variance,Standard
Memory_Bandwidth,96.7111,3486.2531,59.0445
Memory_Bus,176.0544,5318.2374,72.9262
Memory_Speed,1130.4519,73847.0144,271.7481
Open_GL,4.4003,0.0153,0.1237
Shader,5.0,0.0,0.0
Best_Resolution_width,1675.889,45398.931,213.0702
Best_Resolution_height,945.0215,14453.7263,120.2237
Boost_Clock,1174.2851,3146.7025,56.0955
Core_Speed,892.3674,21651.3377,147.1439
Max_Power,100.5515,2695.9801,51.9228
Memory,1641.8211,348048.3444,589.9562
PSU_Watt,475.3681,2042.8066,45.1974
PSU_Amps,29.7157,3.8182,1.954
Pixel_Rate,19.2174,98.9617,9.948
Process,32.4575,35.8086,5.984
ROPs_Per_Core,20.5108,97.8919,9.894
Resolution_WxH_width,3373.0827,596863.6065,772.5695
Resolution_WxH_height,1896.5391,80810.2488,284.2714
TMUs,51.342,829.5836,28.8025
Texture_Rate,49.1031,954.478,30.8946
